x,y,z
19,5,0.42027240766142904
20,5,0.3993861054013688
21,5,0.3804603235262244
22,5,0.36323357819784385
23,5,0.3474885488020328
24,5,0.3330432031173293
25,5,0.3197439634847046
26,5,0.3074603908864806
27,5,0.29608101039486323
28,5,0.285510003773116
29,5,0.27566456731854033
30,5,0.26647278472227987
31,5,0.2578719020735043
32,5,0.24980691941148517
33,5,0.2422294333438983
34,5,0.23509668022254784
35,5,0.22837074061198126
36,5,0.22201787430167888
37,5,0.21600796161241315
38,5,0.2103140317464613
39,5,0.20491186280373727
40,5,0.19977964110598026
41,5,0.1948976698417468
42,5,0.19024811891724833
43,5,0.18581480938548686
44,5,0.18158302701440643
45,5,0.17753936050913496
46,5,0.17367156067379197
47,5,0.16996841742327912
48,5,0.16641965206478074
49,5,0.1630158226856284

0,6,0.24216904485801752
1,6,0.6572554768146458
2,6,1.2092142622829183
3,6,1.3683287750833977
4,6,1.327613457616834
5,6,1.2207088513565658
6,6,1.10380562523278
7,6,0.9957595607680635
8,6,0.90120190143595
9,6,0.8199121055209815
10,6,0.7502609064093078
11,6,0.6904112520054932
12,6,0.6387007187328834
13,6,0.5937314781340045
14,6,0.5543612331893126
15,6,0.5196658525798123
16,6,0.48889875844111996
17,6,0.4614550603764591
18,6,0.4368421686441779
19,6,0.41465647423821567
20,6,0.3945650910781048
21,6,0.37629162284898
22,6,0.359605060690266
23,6,0.34431109428372897
24,6,0.330245278772977
25,6,0.31726763064920604
26,6,0.30525832777009226
27,6,0.29411426657898054
28,6,0.2837462884560147
29,6,0.27407693144445083
30,6,0.2650385969523194
31,6,0.2565720461982485
32,6,0.24862516023160505
33,6,0.24115191185958632
34,6,0.23411150890437155
35,6,0.22746767674053586
36,6,0.2211880546554782
37,6,0.21524368570092647
38,6,0.20960858371027194
39,6,0.20425936430578082
40,6,0.19917492920832144
41,6,0.19433619513897418
42,6,0.18972586017998364
43,6,0.18532820172853381
44,6,0.18112890119730865
45,6,0.17711489144214437
46,6,0.1732742235691797
47,6,0.16959595032290314
48,6,0.16607002370678178
49,6,0.16268720485895802

0,7,0.13444674310826477
1,7,0.37383956139500685
2,7,0.7586645469809192
3,7,0.9589597441186685
4,7,1.0185103381118679
5,7,1.0004208172254956
6,7,0.9479370860240588
7,7,0.8840737351464406
8,7,0.8195982555444288
9,7,0.7590219380767399
10,7,0.7038942918660197
11,7,0.6544346108384164
12,7,0.6103062942830524
13,7,0.5709753560590586
14,7,0.5358714967081368
15,7,0.5044562676508076
16,7,0.47624797890213244
17,7,0.45082694600460826
18,7,0.4278322873136208
19,7,0.4069555584738262
20,7,0.3879336601620315
21,7,0.3705420816205953
22,7,0.3545888858153046
23,7,0.3399095354720035
24,7,0.32636252374602603
25,7,0.3138257206294418
26,7,0.3021933326909786
27,7,0.291373377734635
28,7,0.2812855868552039
29,7,0.2718596591020677
30,7,0.26303380625068207
31,7,0.25475353611108725
32,7,0.2469706321229719
33,7,0.2396422947472215
34,7,0.23273041653627977
35,7,0.2262009679563121
36,7,0.2200234752437591
37,7,0.21417057498609715
38,7,0.2086176328734373
39,7,0.2033424162998424
40,7,0.198324812303514
41,7,0.19354658380609704
42,7,0.18899115830975852
43,7,0.18464344418959597
44,7,0.1804896705208357
45,7,0.17651724703915478
46,7,0.1727146413754665
47,7,0.16907127115540163
48,7,0.16557740892595288
49,7,0.1622240981813626

0,8,0.08533403331310153
1,8,0.23996015402214582
2,8,0.5118898584871387
3,8,0.6913476910476107
4,8,0.7827213368225198
5,8,0.81105070095926
6,8,0.8014991621106798
7,8,0.7720356771069063
8,8,0.7336457577129156
9,8,0.6924833146825226
10,8,0.6517775680224444
11,8,0.6130986763217603
12,8,0.5771107743110764
13,8,0.5439985487719117
14,8,0.5137030804514742
15,8,0.48605028482968327
16,8,0.46081981903504815
17,8,0.4377812109882124
18,8,0.416712021362178
19,8,0.3974062216394009
20,8,0.3796773144746477
21,8,0.36335870170790213
22,8,0.3483026839530807
23,8,0.3343788505075336
24,8,0.3214722686274668
25,8,0.30948168549703187
26,8,0.29831784711189185
27,8,0.28790197813498575
28,8,0.2781644343359028
29,8,0.26904352244961255
